"1k-blocks","filesystem","date","hour","mean_usage"
20268880,"/dev/sdb",2018-08-31 09:00:00,9,51.8087538332869
20268880,"/dev/sdb",2018-08-31 10:00:00,10,52
20268880,"/dev/sdb",2018-08-31 11:00:00,11,52.3022023975467
20268880,"/dev/sdb",2018-08-31 12:00:00,12,52.8661834402007
20268880,"/dev/sdb",2018-08-31 13:00:00,13,53
20268880,"/dev/sdb",2018-08-31 14:00:00,14,53.0446055199331
20268880,"/dev/sdb",2018-08-31 15:00:00,15,54
20268880,"/dev/sdb",2018-08-31 16:00:00,16,54
20268880,"/dev/sdb",2018-08-31 17:00:00,17,54.5383328686925
20268880,"/dev/sdb",2018-08-31 18:00:00,18,55
20268880,"/dev/sdb",2018-08-31 19:00:00,19,55
20268880,"/dev/sdb",2018-08-31 20:00:00,20,55.9503763590744
20268880,"/dev/sdb",2018-08-31 21:00:00,21,56
20268880,"/dev/sdb",2018-08-31 22:00:00,22,47.0802899358796
20268880,"/dev/sdb",2018-08-31 23:00:00,23,47.7752996933371
20268880,"/dev/sdb",2018-09-01 00:00:00,0,48
20268880,"/dev/sdb",2018-09-01 01:00:00,1,48.1857222532069
20268880,"/dev/sdb",2018-09-01 02:00:00,2,49
20268880,"/dev/sdb",2018-09-01 03:00:00,3,49
20268880,"/dev/sdb",2018-09-01 04:00:00,4,49.5963200446055
20268880,"/dev/sdb",2018-09-01 05:00:00,5,50
20268880,"/dev/sdb",2018-09-01 06:00:00,6,50.0903261778645
20268880,"/dev/sdb",2018-09-01 07:00:00,7,51
20268880,"/dev/sdb",2018-09-01 08:00:00,8,51
20268880,"/dev/sdb",2018-09-01 09:00:00,9,51.4176191803736
20268880,"/dev/sdb",2018-09-01 10:00:00,10,52
20268880,"/dev/sdb",2018-09-01 11:00:00,11,52
20268880,"/dev/sdb",2018-09-01 12:00:00,12,52.8282687482576
20268880,"/dev/sdb",2018-09-01 13:00:00,13,53
20268880,"/dev/sdb",2018-09-01 14:00:00,14,53.2389849414389
20268880,"/dev/sdb",2018-09-01 15:00:00,15,54
20268880,"/dev/sdb",2018-09-01 16:00:00,16,54
20268880,"/dev/sdb",2018-09-01 17:00:00,17,54.6497490239822
20268880,"/dev/sdb",2018-09-01 18:00:00,18,55
20268880,"/dev/sdb",2018-09-01 19:00:00,19,55.143892916899
20268880,"/dev/sdb",2018-09-01 20:00:00,20,56
20268880,"/dev/sdb",2018-09-01 21:00:00,21,56
20268880,"/dev/sdb",2018-09-01 22:00:00,22,47.1028714803457
20268880,"/dev/sdb",2018-09-01 23:00:00,23,47.9701617401004
20268880,"/dev/sdb",2018-09-02 00:00:00,0,48
20268880,"/dev/sdb",2018-09-02 01:00:00,1,48.2974630610538
20268880,"/dev/sdb",2018-09-02 02:00:00,2,49
20268880,"/dev/sdb",2018-09-02 03:00:00,3,49
20268880,"/dev/sdb",2018-09-02 04:00:00,4,49.7914691943128
20268880,"/dev/sdb",2018-09-02 05:00:00,5,50
20268880,"/dev/sdb",2018-09-02 06:00:00,6,50.0356844159465
20268880,"/dev/sdb",2018-09-02 07:00:00,7,51
20268880,"/dev/sdb",2018-09-02 08:00:00,8,51
20268880,"/dev/sdb",2018-09-02 09:00:00,9,51.4463339838305
20268880,"/dev/sdb",2018-09-02 10:00:00,10,52
20268880,"/dev/sdb",2018-09-02 11:00:00,11,52
20268880,"/dev/sdb",2018-09-02 12:00:00,12,52.8569436698271
20268880,"/dev/sdb",2018-09-02 13:00:00,13,53
20268880,"/dev/sdb",2018-09-02 14:00:00,14,53.2679866146124
20268880,"/dev/sdb",2018-09-02 15:00:00,15,54
20268880,"/dev/sdb",2018-09-02 16:00:00,16,54
20268880,"/dev/sdb",2018-09-02 17:00:00,17,54.6787506971556
20268880,"/dev/sdb",2018-09-02 18:00:00,18,55
20268880,"/dev/sdb",2018-09-02 19:00:00,19,55.0897686088653
20268880,"/dev/sdb",2018-09-02 20:00:00,20,56
20268880,"/dev/sdb",2018-09-02 21:00:00,21,56
20268880,"/dev/sdb",2018-09-02 22:00:00,22,47.1229782487451
20268880,"/dev/sdb",2018-09-02 23:00:00,23,47.4980479643056
20268880,"/dev/sdb",2018-09-03 00:00:00,0,48
20268880,"/dev/sdb",2018-09-03 01:00:00,1,48
20268880,"/dev/sdb",2018-09-03 02:00:00,2,48.8251533742331
20268880,"/dev/sdb",2018-09-03 03:00:00,3,49
20268880,"/dev/sdb",2018-09-03 04:00:00,4,49.31929726715
20268880,"/dev/sdb",2018-09-03 05:00:00,5,50
20268880,"/dev/sdb",2018-09-03 06:00:00,6,50
20268880,"/dev/sdb",2018-09-03 07:00:00,7,50.6464026770775
20268880,"/dev/sdb",2018-09-03 08:00:00,8,51
20268880,"/dev/sdb",2018-09-03 09:00:00,9,51.1405073877892
20268880,"/dev/sdb",2018-09-03 10:00:00,10,52
20268880,"/dev/sdb",2018-09-03 11:00:00,11,52
20268880,"/dev/sdb",2018-09-03 12:00:00,12,52.467930842164
20268880,"/dev/sdb",2018-09-03 13:00:00,13,53
20268880,"/dev/sdb",2018-09-03 14:00:00,14,53
20268880,"/dev/sdb",2018-09-03 15:00:00,15,53.9620853080569
20268880,"/dev/sdb",2018-09-03 16:00:00,16,54
20268880,"/dev/sdb",2018-09-03 17:00:00,17,54.2894590072504
20268880,"/dev/sdb",2018-09-03 18:00:00,18,55
20268880,"/dev/sdb",2018-09-03 19:00:00,19,55
20268880,"/dev/sdb",2018-09-03 20:00:00,20,55.7005019520357
20268880,"/dev/sdb",2018-09-03 21:00:00,21,56
20268880,"/dev/sdb",2018-09-03 22:00:00,22,47.1480345692779
20268880,"/dev/sdb",2018-09-03 23:00:00,23,47.526491912995
20268880,"/dev/sdb",2018-09-04 00:00:00,0,48
20268880,"/dev/sdb",2018-09-04 01:00:00,1,48.0209146681539
20268880,"/dev/sdb",2018-09-04 02:00:00,2,49
20268880,"/dev/sdb",2018-09-04 03:00:00,3,49
20268880,"/dev/sdb",2018-09-04 04:00:00,4,49.3482989403235
20268880,"/dev/sdb",2018-09-04 05:00:00,5,50
20268880,"/dev/sdb",2018-09-04 06:00:00,6,50
20268880,"/dev/sdb",2018-09-04 07:00:00,7,50.8424428332404
20268880,"/dev/sdb",2018-09-04 08:00:00,8,51
20268880,"/dev/sdb",2018-09-04 09:00:00,9,51.1697797602453
20268880,"/dev/sdb",2018-09-04 10:00:00,10,52
20268880,"/dev/sdb",2018-09-04 11:00:00,11,52
20268880,"/dev/sdb",2018-09-04 12:00:00,12,52.5807081126289
20268880,"/dev/sdb",2018-09-04 13:00:00,13,53
20268880,"/dev/sdb",2018-09-04 14:00:00,14,53
20268880,"/dev/sdb",2018-09-04 15:00:00,15,53.9910788960134
20268880,"/dev/sdb",2018-09-04 16:00:00,16,54
20268880,"/dev/sdb",2018-09-04 17:00:00,17,54.402007248397
20268880,"/dev/sdb",2018-09-04 18:00:00,18,55
20268880,"/dev/sdb",2018-09-04 19:00:00,19,55
20268880,"/dev/sdb",2018-09-04 20:00:00,20,55.812656816281
20268880,"/dev/sdb",2018-09-04 21:00:00,21,56
20268880,"/dev/sdb",2018-09-04 22:00:00,22,47.0175683212493
20268880,"/dev/sdb",2018-09-04 23:00:00,23,47.555338723167
20268880,"/dev/sdb",2018-09-05 00:00:00,0,48
20268880,"/dev/sdb",2018-09-05 01:00:00,1,48
20268880,"/dev/sdb",2018-09-05 02:00:00,2,48.965988291051
20268880,"/dev/sdb",2018-09-05 03:00:00,3,49
20268880,"/dev/sdb",2018-09-05 04:00:00,4,49.3769166434346
20268880,"/dev/sdb",2018-09-05 05:00:00,5,50
20268880,"/dev/sdb",2018-09-05 06:00:00,6,50
20268880,"/dev/sdb",2018-09-05 07:00:00,7,50.7875662113186
20268880,"/dev/sdb",2018-09-05 08:00:00,8,51
20268880,"/dev/sdb",2018-09-05 09:00:00,9,51.1985499163413
20268880,"/dev/sdb",2018-09-05 10:00:00,10,52
20268880,"/dev/sdb",2018-09-05 11:00:00,11,52
